년도별 산불통계,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
발생일시_년,발생일시_월,발생일시_일,발생일시_시간,발생일시_요일,진화종료시간_년,진화종료시간_월,진화종료시간_일,진화종료시간_시간,발생장소_관서,발생장소_시도,발생장소_시군구,발생장소_읍면,발생장소_동리,발생원인_구분,발생원인_세부원인,발생원인_기타,피해면적_합계
2023,03,29,14:59,수,2023,03,29,17:43,경기,경기,여주,흥천,다대,,기타(직접입력),농산폐기물소각추정,0.72
2023,03,29,14:45,수,2023,03,29,15:33,충남,충남,아산,둔포,신양,기,기타(직접입력),원인미상,0.01
2023,03,29,13:22,수,2023,03,29,17:00,경남,경남,거제,하청,대곡,기,기타(직접입력),조사중,0.5
2023,03,28,16:52,화,2023,03,28,18:13,충남,충남,당진,송산,당산,쓰,기타(직접입력),쓰레기소각,0.3
2023,03,28,15:39,화,2023,03,28,16:43,충북,충북,옥천,동이,금암,기,기타(직접입력),조사중,0.1
2023,03,28,15:12,화,2023,03,28,16:44,충남,충남,보령,남포,양향리,기,기타(직접입력),원인미상,0.04
2023,03,28,14:50,화,2023,03,28,16:00,경남,경남,합천,용주,성산,입,기타(직접입력),입산자실화추정,0.01
2023,03,28,14:47,화,2023,03,28,16:00,경기,경기,의왕,,오전,기,기타(직접입력),원인미상,0.02
2023,03,28,14:45,화,2023,03,28,15:44,강원,강원,철원,갈말,토성,기,기타(직접입력),원인미상,0.01
2023,03,27,14:56,월,2023,03,27,17:15,강원,강원,철원,서,자등,기,기타(직접입력),미상,0.5
2023,03,27,13:55,월,2023,03,27,14:23,충남,충남,금산,추부,추정,기,기타(직접입력),조사중,0.03
2023,03,27,12:10,월,2023,03,27,14:00,전북,전북,진안,마령,덕천,입,기타(직접입력),입산자실화추정,1
2023,03,26,14:52,일,2023,03,26,17:30,강원,강원,홍천,영귀미,좌운,기,기타(직접입력),미상,1.2
2023,03,26,14:50,일,2023,03,26,20:00,경기,경기,양주,백석,방성,입,기타(직접입력),입산자실화,0.04
2023,03,26,14:45,일,2023,03,27,08:00,인천,인천,강화,화도,동막,,기타(직접입력),주택화재,22
2023,03,25,16:49,토,2023,03,25,18:30,충남,충남,보령,미산,봉성,,기타(직접입력),농산부산물소각,0.04
2023,03,25,13:11,토,2023,03,25,14:09,경기,경기,포천,,동교,담,기타(직접입력),담뱃불실화,0.07
2023,03,24,18:12,금,2023,03,24,20:10,강원,강원,춘천,남산,강촌,기,기타(직접입력),불씨취급부주의,0.2
2023,03,24,15:39,금,2023,03,24,15:57,경기,경기,고양,덕양,원흥,담,기타(직접입력),담뱃불실화,0.01
2023,03,24,12:10,금,2023,03,24,14:00,경기,경기,남양주,와부,팔당,기,작업장실화,엔진톱불씨발화,0.03
2023,03,24,11:01,금,2023,03,24,11:30,경기,경기,남양주,,지금,기,기타(직접입력),미상,0.01
2023,03,22,19:47,수,2023,03,22,22:30,전북,전북,진안,성수,좌포,쓰,기타(직접입력),쓰레기소각,0.5
2023,03,22,17:15,수,2023,03,22,19:00,강원,강원,화천,간동,오음,기,작업장실화,산업현장실화,0.05
2023,03,22,16:00,수,2023,03,22,17:13,충북,충북,청주 상당,남성,귀래,,기타(직접입력),주택화재,0.5
2023,03,22,15:42,수,2023,03,22,16:20,인천,인천,옹진,북도,신도,기,기타(직접입력),미상,0.03
2023,03,22,14:31,수,2023,03,22,16:00,전북,전북,익산,여산,두여,기,기타(직접입력),미상,0.5
2023,03,22,12:41,수,2023,03,22,15:23,충남,충남,태안,소원,신덕,기,기타(직접입력),도로변발화(담뱃불)추정,0.2
